,all_data_mean,hiphop_mean,difference,abs_diff
viewCount,10514605.589481942,16526803.392764857,6012197.803282915,6012197.803282915
likeCount_y,82195.98252842185,188897.9677002584,106701.98517183654,106701.98517183654
commentCount,3907.3988932784177,11693.24861572536,7785.849722446943,7785.849722446943
Unnamed: 0,314727.9233140007,317978.4198966408,3250.496582640102,3250.496582640102
Tone,74.44946856797397,66.25035714285715,-8.199111425116811,8.199111425116811
WC,17.630391415202713,20.69638242894057,3.0659910137378574,3.0659910137378574
WPS,17.517724468353368,20.565891472868216,3.0481670045148483,3.0481670045148483
tone_pos,7.610757978201788,5.371847545219638,-2.2389104329821494,2.2389104329821494
Emoji,4.085447872012552,6.2021945367294204,2.1167466647168682,2.1167466647168682
BigWords,14.900872937155022,13.215712440014768,-1.685160497140254,1.685160497140254
Authentic,59.08254170167658,60.54827731092437,1.465735609247787,1.465735609247787
Affect,10.438355299655374,9.136657438169067,-1.301697861486307,1.301697861486307
Analytic,42.640626801756014,41.3836565536387,-1.2569702481173124,1.2569702481173124
Clout,36.72164247607241,37.91993748437109,1.198295008298679,1.198295008298679
emo_pos,3.040996413661707,1.953641565153193,-1.0873548485085138,1.0873548485085138
netspeak,1.259614944944103,2.258076781100037,0.9984618361559341,0.9984618361559341
adj,8.10420912835168,7.129918789221115,-0.9742903391305653,0.9742903391305653
emotion,4.043181362248186,3.074820967146548,-0.9683603951016377,0.9683603951016377
Conversation,1.8241279314112802,2.7762956810631225,0.9521677496518424,0.9521677496518424
socrefs,5.7871084867333495,6.71406053894426,0.9269520522109103,0.9269520522109103
male,1.1551153231907203,1.972722406792174,0.8176070836014537,0.8176070836014537
auditory,4.171058726289541,3.3973385012919897,-0.7737202249975512,0.7737202249975512
categoryId,11.260449413017287,10.516426725729051,-0.7440226872882363,0.7440226872882363
space,4.725228573029615,5.408827980804725,0.6835994077751097,0.6835994077751097
swear,1.027802667339105,1.696880767811,0.6690781004718951,0.6690781004718951
Linguistic,63.77751511585553,63.1279457364341,-0.649569379421429,0.649569379421429
leisure,3.7044964837073766,3.0588630490956077,-0.6456334346117689,0.6456334346117689
socbehav,4.216134039393684,3.6023791066814326,-0.6137549327122516,0.6137549327122516
AllPunc,0.7222967414754422,1.252094868955334,0.5297981274798917,0.5297981274798917
number,3.175876467456782,3.6853045404208196,0.5094280729640377,0.5094280729640377
Lifestyle,5.163121795410607,4.686179401993356,-0.476942393417251,0.476942393417251
verb,13.996910453615754,14.446782945736434,0.44987249212067937,0.44987249212067937
focuspresent,5.655231094673726,6.101197858988557,0.4459667643148304,0.4459667643148304
pronoun,16.430178392311788,16.8575046142488,0.42732622193701175,0.42732622193701175
function,48.04106573085651,47.61464931709118,-0.426416413765331,0.426416413765331
conj,4.0936029811437065,3.669344776670358,-0.4242582044733485,0.4242582044733485
det,14.844504356840662,14.456070505721668,-0.38843385111899487,0.38843385111899487
Social,10.202438710038946,10.587096714654853,0.3846580046159076,0.3846580046159076
auxverb,7.204034658597406,7.576801402731635,0.3727667441342293,0.3727667441342293
cogproc,8.145601384102433,7.789165743816907,-0.3564356402855253,0.3564356402855253
article,5.354689165335799,5.005359911406424,-0.3493292539293753,0.3493292539293753
time,4.487816368272115,4.813931339977851,0.3261149717057368,0.3261149717057368
ppron,8.852869294780197,9.176338132152084,0.3234688373718875,0.3234688373718875
Apostro,0.3875195987784034,0.7083942414174972,0.32087464263909377,0.32087464263909377
quantity,3.4312916141324137,3.135121816168328,-0.2961697979640858,0.2961697979640858
Perception,11.842877728278838,12.136411960132891,0.2935342318540535,0.2935342318540535
tone_neg,1.6119102294696142,1.8744130675526023,0.26250283808298813,0.26250283808298813
motion,1.322522540696534,1.5810077519379844,0.2584852112414504,0.2584852112414504
prosocial,0.7682418817068726,0.510812107788852,-0.2574297739180206,0.2574297739180206
allure,9.609917906475024,9.364970468807678,-0.24494743766734572,0.24494743766734572
polite,0.6869423664229077,0.44960317460317467,-0.23733919181973306,0.23733919181973306
achieve,1.0848241573505921,0.8650258397932815,-0.2197983175573106,0.2197983175573106
shehe,0.7822813594463593,0.9984237726098193,0.21614241316345995,0.21614241316345995
affiliation,1.0273852231655038,1.2426781100036914,0.2152928868381876,0.2152928868381876
adverb,6.187771426970385,6.389248800295311,0.2014773733249262,0.2014773733249262
allnone,1.5844647670281025,1.3831210778885197,-0.20134368913958278,0.20134368913958278
likeCount_x,8.226886329887087,8.027316352897747,-0.19956997698933954,0.19956997698933954
differ,2.127082821999944,1.929136212624585,-0.1979466093753588,0.1979466093753588
certitude,0.9678353646577569,0.7758379475821335,-0.19199741707562334,0.19199741707562334
Physical,1.807474153147852,1.992000738279808,0.18452658513195597,0.18452658513195597
work,0.541311142865148,0.71859357696567,0.1772824341005219,0.1772824341005219
focuspast,3.1698213835420694,3.3396899224806207,0.16986853893855125,0.16986853893855125
you,1.472856322322154,1.3175396825396826,-0.15531663978247146,0.15531663978247146
comm,1.1753701213191,1.0310262089331856,-0.14434391238591426,0.14434391238591426
focusfuture,0.767165027597994,0.9102934662236987,0.14312843862570468,0.14312843862570468
Period,0.20404667843433924,0.341797711332595,0.13775103289825577,0.13775103289825577
Dic,84.1540033061556,84.02205241786636,-0.1319508882892393,0.1319508882892393
feeling,0.750027934213107,0.8819435215946846,0.1319155873815776,0.1319155873815776
female,0.6036662463926479,0.4725876707272057,-0.13107857566544218,0.13107857566544218
cause,1.1340186041298927,1.2574510889627168,0.1234324848328241,0.1234324848328241
acquire,0.5227564652153203,0.6453986710963455,0.12264220588102526,0.12264220588102526
vader_compound,0.2727265150878372,0.15019822812846068,-0.12252828695937651,0.12252828695937651
they,0.6297190888459275,0.5145459579180509,-0.11517313092787662,0.11517313092787662
moral,0.23619559552828442,0.34870431893687703,0.11250872340859261,0.11250872340859261
negate,1.2832432265837326,1.3937246216315986,0.11048139504786603,0.11048139504786603
ipron,7.577764674567813,7.684501661129569,0.10673698656175556,0.10673698656175556
emo_neg,0.6928975932307866,0.7870874861572535,0.09418989292646696,0.09418989292646696
visual,0.9332725336919672,1.0256958287190845,0.09242329502711732,0.09242329502711732
OtherP,0.11232781373455493,0.1980343300110742,0.08570651627651928,0.08570651627651928
need,0.26973335014429406,0.35025286083425616,0.0805195106899621,0.0805195106899621
power,0.7659816760527863,0.8432336655592471,0.07725198950646073,0.07725198950646073
death,0.26523451290241246,0.18984311554078995,-0.07539139736162251,0.07539139736162251
Culture,0.49125025916897813,0.4196825396825397,-0.07156771948643842,0.07156771948643842
licensedContent,0.41026028970889017,0.3401624215577704,-0.07009786815111979,0.07009786815111979
curiosity,0.3060372923145891,0.2382687338501292,-0.0677685584644599,0.0677685584644599
we,0.30773024011655614,0.3740586932447398,0.06632845312818364,0.06632845312818364
health,0.3688257543918635,0.4231764488741233,0.05435069448225982,0.05435069448225982
insight,1.7457421198621499,1.6927057954964932,-0.05303632436565664,0.05303632436565664
discrep,1.301044801210389,1.3507235142118863,0.04967871300149729,0.04967871300149729
food,0.25569689837774234,0.30442598744924326,0.04872908907150092,0.04872908907150092
vader_pos,0.21353470062480742,0.16550055370985603,-0.04803414691495139,0.04803414691495139
want,0.2787564091787846,0.3253839055001846,0.04662749632140001,0.04662749632140001
relig,0.6384886666106302,0.5931044665928387,-0.04538420001779153,0.04538420001779153
money,0.18249222493065478,0.22213362864525654,0.03964140371460176,0.03964140371460176
memory,0.33387957748451985,0.2954337393872278,-0.03844583809729207,0.03844583809729207
risk,0.10545947157546719,0.14336840162421557,0.03790893004874839,0.03790893004874839
sexual,0.13919164495250905,0.17632890365448503,0.037137258701975984,0.037137258701975984
tech,0.26255414530273735,0.22791989664082685,-0.034634248661910505,0.034634248661910505
Cognition,19.393194222633156,19.42535068290882,0.03215646027566521,0.03215646027566521
emo_anx,0.08303468661567341,0.11327796234772979,0.030243275732056374,0.030243275732056374
reward,0.05220904429688156,0.02277408637873754,-0.029434957918144017,0.029434957918144017
friend,0.1805049172060183,0.20926356589147285,0.028758648685454552,0.028758648685454552
illness,0.15190675520439326,0.17985972683647103,0.027952971632077772,0.027952971632077772
emo_sad,0.2028241013140568,0.17575673680324844,-0.02706736451080835,0.02706736451080835
family,0.329696057829705,0.3564636397194537,0.026767581889748704,0.026767581889748704
vader_neg,0.06489722619147684,0.0891266149870801,0.02422938879560327,0.02422938879560327
politic,0.08754543162141719,0.0634717607973422,-0.024073670824074994,0.024073670824074994
vader_neu,0.721568952957328,0.7453794758213362,0.0238105228640082,0.0238105228640082
fulfill,0.08434633380964389,0.06102251753414544,-0.023323816275498448,0.023323816275498448
tentat,1.3153235829761,1.2921354743447766,-0.02318810863132348,0.02318810863132348
substances,0.05880810288307976,0.07971760797342192,0.02090950509034216,0.02090950509034216
nonflu,0.17429391163038305,0.1561203396087117,-0.018173572021671358,0.018173572021671358
attention,0.45388319184108034,0.4367921742340347,-0.017091017607045622,0.017091017607045622
assent,0.3173997646465495,0.3010797342192691,-0.01632003042728042,0.01632003042728042
conflict,0.21803874926452044,0.23378183831672206,0.01574308905220162,0.01574308905220162
emo_anger,0.10147709506598299,0.11712440014765597,0.015647305081672988,0.015647305081672988
ethnicity,0.14145456837858283,0.1283499446290144,-0.013104623749568445,0.013104623749568445
Exclam,0.016092236137961954,0.0037172388335179034,-0.01237499730444405,0.01237499730444405
lack,0.05110904709870837,0.03924141749723145,-0.011867629601476921,0.011867629601476921
home,0.11809117144378133,0.12965669988925804,0.011565528445476717,0.011565528445476717
Drives,2.8163908828556226,2.8277076411960134,0.011316758340390809,0.011316758340390809
mental,0.06282129948726567,0.05301771871539313,-0.009803580771872537,0.009803580771872537
fatigue,0.03758098680339581,0.028988556662975267,-0.008592430140420545,0.008592430140420545
caption,0.058292006388165084,0.06441491325212255,0.0061229068639574655,0.0061229068639574655
filler,0.1921450785912414,0.18696936138796605,-0.005175717203275365,0.005175717203275365
prep,9.416953601748338,9.412583979328165,-0.004369622420172803,0.004369622420172803
i,5.314917262054857,5.31860649686231,0.00368923480745309,0.00368923480745309
wellness,0.028133871284077225,0.024713916574381687,-0.003419954709695538,0.003419954709695538
QMark,0.002311843321845843,0.00016057585825027688,-0.002151267463595566,0.002151267463595566
embeddable,0.9995545095402202,1.0,0.00044549045977981816,0.00044549045977981816
Segment,1.0,1.0,0.0,0.0
Comma,0.0,0.0,0.0,0.0
madeForKids,0.0,0.0,0.0,0.0
favoriteCount,0.0,0.0,0.0,0.0
parentId,,,,
selfDeclaredMadeForKids,,,,
